meituan,ctrip,qunai,result
玖月花开青年旅舍,南京玖月花开青年旅舍,南京玖月花开青年旅舍,yes
城市驿站酒店式公寓(新街口君临国际珠江路地铁站店),温馨满屋酒店公寓(南京君临国际店),南京君临国际温馨满屋酒店式公寓,yes
从前慢青年旅舍(新街口珠江路地铁站店),南京从前慢青年旅舍,南京从前慢青年旅舍,yes
麗枫酒店(南京新街口张府园地铁站店),麗枫酒店(南京新街口张府园地铁站店),麗枫酒店南京新街口张府园地铁站店,yes
浪漫秦淮国际青旅,南京浪漫秦淮(青年旅舍),南京浪漫秦淮国际青旅,yes
如家商旅酒店(南京夫子庙三山街地铁站店),如家商旅(南京夫子庙三山街地铁站店),如家商旅酒店南京夫子庙三山街地铁站店,yes
宜必思酒店(南京夫子庙店),宜必思酒店(南京夫子庙店),宜必思酒店南京夫子庙店,yes
莫泰酒店(南京夫子庙地铁站平江府路店),莫泰168(南京夫子庙地铁站平江府路店),莫泰连锁酒店南京夫子庙地铁站平江府路店,yes
如家酒店(南京新街口中山东路西安门地铁站店),如家快捷酒店(南京新街口中山东路西安门地铁站店),如家快捷酒店南京中山东路西安门地铁站店,yes
维也纳酒店(南京夫子庙雨花路店),维也纳酒店(南京夫子庙雨花路店),维也纳酒店江苏南京夫子庙雨花路店,yes
南京涵田城市酒店,南京涵田城市酒店,南京涵田城市酒店,yes
南京钞库街十八号生活酒店,南京钞库街十八号生活酒店,南京钞库街十八号生活酒店,yes
天空之城国际青年旅舍,南京天空之城国际青年旅舍,南京天空之城国际青年旅舍,yes
宿闲居酒店(丹凤街店),南京宿闲居酒店,南京宿闲居酒店丹凤街店,yes
海友酒店(南京夫子庙中华门店),海友酒店(南京夫子庙中华门店),海友酒店南京夫子庙中华门店,yes
尚好酒店公寓(夫子庙店),南京尚好酒店公寓夫子庙店,南京尚好酒店公寓夫子庙店,yes
天禧龙宾馆(南京夫子庙旗舰店),天禧龙宾馆(南京夫子庙景区旗舰店),南京天禧龙宾馆夫子庙店,yes
汉庭(南京夫子庙店),汉庭酒店(南京夫子庙店),汉庭酒店南京夫子庙店,yes
正青春青年旅社,南京正青春青年旅社,南京正青春青年旅社,yes
全季酒店(南京新街口中心店),全季酒店(南京新街口中心店),全季酒店南京新街口中心店,yes
南京苏宁雅悦行政公寓,南京苏宁雅悦行政公寓酒店,南京苏宁雅悦行政公寓新街口店,yes
全季酒店(南京新街口店),全季酒店(南京新街口店),全季酒店南京新街口店,yes
速8酒店(南京舜天总统府店),速8酒店(南京舜天总统府店),速8酒店南京舜天总统府店,yes
如家酒店(南京新街口常府街地铁站天空之都店),如家快捷酒店(南京新街口常府街地铁站天空之都店),如家快捷酒店南京新街口常府街地铁站天空之都店,yes
银百快捷酒店,南京银百快捷酒店,南京银百快捷酒店,yes
速8酒店(南京夫子庙中华路店),速8酒店(南京夫子庙中华路店),速8酒店南京夫子庙中华路店,yes
古佳旅馆,南京古佳快捷宾馆,南京古佳快捷宾馆,yes
半山园连锁酒店(新街口店),半山园酒店(南京新街口店),南京半山园酒店新街口店,yes
麗枫酒店(南京水西门大街莫愁湖公园店),麗枫酒店(南京水西门大街店),麗枫酒店南京水西门大街莫愁湖公园店,yes
7天优品酒店(南京夫子庙三山街地铁站店),7天优品酒店(南京夫子庙三山街地铁站店),7天优品酒店南京夫子庙三山街地铁站店,yes
四季阳光精品酒店(新街口店),南京四季阳光精品酒店,南京四季阳光精品酒店,yes
南京新街口王府大街亚朵酒店,南京新街口王府大街亚朵酒店,亚朵酒店南京新街口王府大街店,yes
7天连锁酒店(南京珠江路地铁站店),7天连锁酒店(南京珠江路地铁站店),7天酒店南京珠江路地铁站店,yes
南京金丝利喜来登酒店,南京金丝利喜来登酒店,南京金丝利喜来登酒店,yes
汉庭(南京新街口延龄巷店),汉庭酒店(南京新街口延龄巷店),汉庭酒店南京新街口延龄巷店,yes
汉庭(南京鼓楼广场店),汉庭酒店(南京鼓楼广场店),新品汉庭酒店南京鼓楼广场店,yes
7天连锁酒店(南京珠江路东南大学店),7天连锁酒店(南京珠江路东南大学店),7天酒店南京珠江路东南大学店,yes
格林豪泰快捷酒店(南京夫子庙太平南路店),格林豪泰(南京夫子庙太平南路店),格林豪泰酒店南京夫子庙太平南路店,yes
南京明日大酒店,南京明日大酒店,南京明日大酒店,yes
格林豪泰(夫子庙三山街地铁站店),格林豪泰南京夫子庙三山街地铁站快捷酒店,格林豪泰酒店南京夫子庙三山街地铁站店,yes
落脚点宾馆(夫子庙店),南京落脚点宾馆,南京落脚点宾馆,yes
向阳宾馆(夫子庙秦虹店),南京向阳宾馆夫子庙店,南京向阳宾馆夫子庙店,yes
速8酒店(南京莫愁湖水西门店),速8酒店(南京莫愁湖水西门店),速8酒店南京莫愁湖水西门大街店,yes
清沐连锁酒店(南京湖南路天星翠琅大厦迷巢店),清沐连锁酒店(南京湖南路天星翠琅大厦迷巢店),清沐连锁酒店南京湖南路天星翠琅大厦迷巢店,yes
如家酒店(南京夫子庙店),如家快捷酒店(南京夫子庙店),如家快捷酒店南京夫子庙店,yes
清沐连锁酒店(南京丹凤街店),清沐连锁酒店(南京丹凤街一店),清沐连锁酒店南京丹凤街店,yes
海友酒店(南京珠江路店),海友客栈(南京珠江路店),海友酒店南京珠江路客栈,yes
莫泰酒店(南京夫子庙大光路店),莫泰168(南京夫子庙大光路店),莫泰连锁酒店南京夫子庙大光路店,yes
如家精选酒店(南京新街口管家桥店),如家精选酒店(南京新街口管家桥店),如家精选酒店南京新街口管家桥店,yes
南京金鹰皇冠假日酒店,南京金鹰皇冠假日酒店,南京金鹰皇冠假日酒店,yes
南京泽天大酒店,南京泽天大酒店,南京泽天大酒店,yes
王府花园公寓 (新街口店),南京王府花园公寓新街口店,南京王府花园公寓新街口店,yes
全季酒店(南京朝天宫店),全季酒店(南京朝天宫店),全季酒店南京朝天宫店,yes
古都文化酒店(南京玄武湖鼓楼地铁站店),古都文化酒店(南京玄武湖鼓楼地铁站店),南京古都文化酒店玄武湖鼓楼地铁站店,yes
晶丽酒店,南京晶丽酒店,南京晶丽酒店,yes
布丁酒店(南京大学云南路地铁站店),布丁酒店(南京大学云南路店),布丁酒店南京大学云南路地铁站店,yes
南京新街口饭店,南京行宫饭店,南京行宫饭店新街口店,yes
汉庭(南京鼓楼店),汉庭酒店(南京鼓楼店),汉庭酒店南京鼓楼店,yes
都乐宾馆(夫子庙店),都乐宾馆(南京夫子庙店),南京都乐宾馆夫子庙店,yes
